state,mean_ret,mean_vol,sd_ret,sd_vol
0,0.0013284095666597983,0.0073931951106605675,0.0077863581722108135,0.001398292544491413
1,0.0015829113001404752,0.022572207958568187,0.022670964258779097,0.0029109599126037316
2,0.0005146574682801764,0.011248536936288044,0.011739694984928446,0.0012782065787901324
3,0.0009302189787338273,0.015715455656024318,0.015614923407676414,0.00175783738173162
4,-0.0014857984814891532,0.03971560045128026,0.04073560011815966,0.013383395403079788
