state,mean,sd,median,n
0,0.001354480650790103,0.007707016377187378,0.000600961994314364,510
1,0.0018530236730030175,0.02251202787669491,0.0019645404175578918,581
2,0.00045384280875792075,0.011716356385366326,0.0004687522349704487,696
3,0.0009063231427629288,0.015699494414904917,0.0015017199639664192,763
4,-0.0019834251525828136,0.04074366372970448,-0.0008737466034034469,179
