k,loglik,n_params,AIC,BIC,seed
2,-5944.243222291028,11,11910.486444582057,11975.515040309849,2051
3,-5044.008200676863,20,10128.016401353727,10246.250211767894,2115
4,-4419.313128832482,31,8900.626257664964,9083.888663806923,2077
5,-3982.8813720776407,44,8053.762744155281,8313.877127066447,2175
