Date,ret,vol,state,prob_S1,prob_S2,prob_S3,prob_S4,prob_S5,date_num
2015-02-10,0.019029164800901555,0.019970923730324653,1,2.516258109106024e-20,0.8813460914452312,1.161298651187212e-11,0.11843215474847565,0.00022175379481452354,16
2015-02-11,0.02316834652213995,0.013888159190733398,3,7.232935343878847e-07,0.01621454946616184,0.13907168413891138,0.8447070408737345,6.00222746026238e-06,17
2015-02-12,0.012573007464202757,0.011661841477090023,2,0.008725201260766235,3.170963303945994e-05,0.9394876672512186,0.05175542115456485,7.003880621923286e-10,18
2015-02-13,0.004890609409545554,0.009033972972743205,0,0.6096920085960645,1.3296354216484728e-08,0.3902667524290018,4.122567245051103e-05,6.055254205361716e-12,19
2015-02-17,0.005884732143890847,0.00895391466649393,0,0.7924581759053879,2.3000930332961436e-09,0.20753857702634682,3.24476804323694e-06,3.7747815959966324e-14,20
2015-02-18,0.006938031341273021,0.008554584545655287,0,0.8317635889095822,1.0012362116657608e-09,0.16823467729842828,1.7327906672955432e-06,3.0642974283492602e-15,21
2015-02-19,-0.002099576987189433,0.00919863121586631,0,0.7333689756567794,3.189028752292693e-09,0.26662645324807654,4.567906086942981e-06,9.061515675320765e-16,22
2015-02-20,0.00814079532887435,0.009198743226019844,0,0.5097772644978774,6.17247356987346e-09,0.4902151617695938,7.567559999263936e-06,9.475645084038247e-14,23
2015-02-23,0.02666854139108432,0.009062299280436614,2,0.07732152943000094,8.325747504604237e-08,0.9226255601618832,5.2827133663921864e-05,1.712964316339316e-11,24
2015-02-24,-0.006260098232732325,0.010572197445191937,2,0.00520952360276368,1.2294834391061157e-06,0.9851723587764928,0.0096168878514567,2.8596491894133073e-10,25
2015-02-25,-0.02590607512186338,0.014915170709411923,3,9.665386367808141e-11,0.00048090605381398665,0.020089757300494764,0.9794293286830613,7.865820416358793e-09,26
2015-02-26,0.012577100386885753,0.01385133954630619,3,7.257577848182939e-09,3.7950323052697814e-05,0.006842547326589062,0.9931191102816659,3.8481096902503987e-07,27
2015-02-27,-0.01514267500240507,0.014763889682303761,3,2.78683798819981e-11,6.0239160821470186e-05,0.0006268247472801875,0.9993125787160703,3.573480753222561e-07,28
2015-03-02,0.004892458506423392,0.014763935915607429,3,1.552479635963815e-10,4.511957675596217e-05,0.0004046351735084796,0.9995500206443853,2.2445005868904598e-07,29
2015-03-03,0.0020893112394873015,0.01468926798734793,3,2.0830127024735814e-10,4.236346692868804e-05,0.0005079453621476952,0.9994494692018252,2.2176078089468617e-07,30
2015-03-04,-0.006359209593813642,0.014712936745021693,3,1.0301258629888023e-10,4.664808824193151e-05,0.0004910255771492071,0.9994620761468035,2.5008479378025535e-07,31
2015-03-05,-0.016709306603351237,0.01562616679900332,3,8.692652810501744e-13,0.0001186801081792897,8.65546781307201e-05,0.999794379775435,3.854374152975065e-07,32
2015-03-06,0.0015017199639664192,0.015303999044056174,3,2.0868044981289717e-09,8.905944722471963e-05,0.010294669793465537,0.9896162471264943,2.154581856137728e-08,33
2015-03-09,0.0042560582515149825,0.011846527124391229,2,7.259710747714484e-05,2.1894449516777147e-06,0.9011255387105411,0.09879960444463898,7.029223161211562e-08,34
2015-03-10,-0.020902671419728236,0.012941720754743436,2,3.774241496980964e-07,3.5774652736783855e-06,0.9434822811025128,0.056513746556128404,1.7451900921663062e-08,35
2015-03-11,-0.018399429072668116,0.011826555831980414,2,6.167262145468476e-06,7.912871155156533e-07,0.9819847097755116,0.018008299983218855,3.1691981628226166e-08,36
2015-03-12,0.01791779156194373,0.012800050078938202,2,3.903360601133146e-06,3.434334108927653e-06,0.9634558430558859,0.03653680751637668,1.1732815009850125e-08,37
2015-03-13,-0.006934631716392303,0.012308723141136983,2,1.1697845620981448e-05,3.7908063822178957e-06,0.9324748891450124,0.06750959295956373,2.9243483349888414e-08,38
2015-03-16,0.010944087906537447,0.012920669232087692,2,3.179548317342071e-06,3.02571009274197e-05,0.6512922999788161,0.34867422212459487,4.1247459567455174e-08,39
2015-03-17,0.01658827157813736,0.014324800641352548,3,1.3989976536549916e-08,0.0001367212973242419,0.04568429542708278,0.9541788423633162,1.2692246890018544e-07,40
2015-03-18,0.011193465660947588,0.014773756687293207,3,6.091919462788964e-10,5.812304634157883e-05,0.002292362726302187,0.9976492657576846,2.478603045056809e-07,41
2015-03-19,-0.007579094392160535,0.01388554480143449,3,2.8881527365411377e-09,3.0350258269664965e-05,0.003892540184422312,0.9960767765446542,3.3012448637711544e-07,42
