Date,AAPL
2015-01-02,24.237546920776367
2015-01-05,23.554744720458984
2015-01-06,23.55695152282715
2015-01-07,23.887277603149414
2015-01-08,24.805086135864258
2015-01-09,24.83169174194336
2015-01-12,24.21981430053711
2015-01-13,24.434860229492188
2015-01-14,24.341751098632812
2015-01-15,23.68111228942871
2015-01-16,23.49710464477539
2015-01-20,24.10232162475586
2015-01-21,24.28632354736328
2015-01-22,24.918149948120117
2015-01-23,25.046724319458008
2015-01-26,25.073328018188477
2015-01-27,24.195430755615234
2015-01-28,25.563268661499023
2015-01-29,26.359140396118164
2015-01-30,25.973398208618164
2015-02-02,26.299274444580078
2015-02-03,26.303720474243164
2015-02-04,26.50545310974121
2015-02-05,26.694637298583984
2015-02-06,26.4698429107666
2015-02-09,26.645671844482422
2015-02-10,27.15757179260254
2015-02-11,27.794113159179688
2015-02-12,28.145774841308594
2015-02-13,28.283761978149414
2015-02-17,28.450695037841797
2015-02-18,28.648773193359375
2015-02-19,28.588685989379883
2015-02-20,28.822370529174805
2015-02-23,29.601362228393555
2015-02-24,29.41663360595703
2015-02-25,28.664350509643555
2015-02-26,29.027141571044922
2015-02-27,28.590904235839844
2015-03-02,28.73112678527832
2015-03-03,28.791217803955078
2015-03-04,28.60870933532715
2015-03-05,28.1346492767334
2015-03-06,28.176931381225586
2015-03-09,28.297109603881836
2015-03-10,27.711763381958008
2015-03-11,27.206544876098633
2015-03-12,27.69841957092285
2015-03-13,27.50700569152832
2015-03-16,27.8096981048584
2015-03-17,28.274860382080078
2015-03-18,28.59313201904297
2015-03-19,28.377241134643555
2015-03-20,28.021135330200195
2015-03-23,28.312694549560547
2015-03-24,28.19696044921875
2015-03-25,27.46027374267578
2015-03-26,27.65167808532715
2015-03-27,27.431337356567383
2015-03-30,28.125747680664062
2015-03-31,27.6939640045166
2015-04-01,27.653905868530273
2015-04-02,27.892044067382812
2015-04-06,28.343854904174805
2015-04-07,28.045616149902344
2015-04-08,27.95436668395996
2015-04-09,28.168025970458984
2015-04-10,28.288219451904297
2015-04-13,28.23257064819336
2015-04-14,28.110166549682617
2015-04-15,28.216999053955078
2015-04-16,28.081233978271484
2015-04-17,27.765180587768555
2015-04-20,28.399497985839844
2015-04-21,28.24593162536621
2015-04-22,28.626506805419922
2015-04-23,28.860214233398438
2015-04-24,28.995975494384766
2015-04-27,29.523462295532227
2015-04-28,29.058298110961914
2015-04-29,28.630970001220703
2015-04-30,27.85421371459961
2015-05-01,28.699968338012695
2015-05-04,28.644315719604492
2015-05-05,27.99888038635254
2015-05-06,27.823049545288086
2015-05-07,27.995149612426758
2015-05-08,28.522598266601562
2015-05-11,28.2320499420166
2015-05-12,28.13148307800293
2015-05-13,28.162763595581055
2015-05-14,28.819849014282227
2015-05-15,28.77961540222168
2015-05-18,29.09699249267578
2015-05-19,29.070159912109375
2015-05-20,29.067928314208984
2015-05-21,29.365177154541016
2015-05-22,29.6221866607666
2015-05-26,28.969589233398438
2015-05-27,29.510446548461914
2015-05-28,29.452341079711914
2015-05-29,29.117094039916992
2015-06-01,29.175201416015625
2015-06-02,29.045570373535156
2015-06-03,29.081335067749023
2015-06-04,28.911479949951172
2015-06-05,28.75279426574707
2015-06-08,28.56283187866211
2015-06-09,28.477895736694336
2015-06-10,28.8042049407959
2015-06-11,28.739389419555664
2015-06-12,28.422019958496094
2015-06-15,28.36614418029785
2015-06-16,28.518123626708984
2015-06-17,28.451082229614258
2015-06-18,28.580705642700195
2015-06-19,28.294628143310547
2015-06-22,28.52036476135254
2015-06-23,28.390731811523438
2015-06-24,28.632102966308594
2015-06-25,28.49577522277832
2015-06-26,28.32814598083496
2015-06-29,27.831993103027344
2015-06-30,28.03313636779785
2015-07-01,28.294628143310547
2015-07-02,28.258869171142578
2015-07-06,28.16053009033203
2015-07-07,28.09124755859375
2015-07-08,27.39393424987793
2015-07-09,26.835195541381836
2015-07-10,27.552621841430664
2015-07-13,28.08454132080078
2015-07-14,28.073368072509766
2015-07-15,28.34380531311035
2015-07-16,28.721506118774414
2015-07-17,28.969589233398438
2015-07-20,29.51715087890625
2015-07-21,29.22214126586914
2015-07-22,27.986209869384766
2015-07-23,27.972793579101562
2015-07-24,27.825288772583008
2015-07-27,27.438644409179688
2015-07-28,27.57497787475586
2015-07-29,27.487812042236328
2015-07-30,27.349239349365234
2015-07-31,27.110095977783203
2015-08-03,26.470895767211914
2015-08-04,25.62161636352539
2015-08-05,25.791473388671875
2015-08-06,25.847599029541016
2015-08-07,25.935148239135742
2015-08-10,26.87809181213379
2015-08-11,25.479402542114258
2015-08-12,25.872291564941406
2015-08-13,25.852092742919922
2015-08-14,26.03394317626953
2015-08-17,26.3033504486084
2015-08-18,26.15517807006836
2015-08-19,25.820653915405273
2015-08-20,25.290813446044922
2015-08-21,23.74395751953125
2015-08-24,23.15125846862793
2015-08-25,23.290449142456055
2015-08-26,24.626272201538086
2015-08-27,25.351438522338867
2015-08-28,25.434507369995117
2015-08-31,25.315515518188477
2015-09-01,24.183990478515625
2015-09-02,25.22122573852539
2015-09-03,24.778942108154297
2015-09-04,24.531978607177734
2015-09-08,25.214487075805664
2015-09-09,24.72954750061035
2015-09-10,25.272859573364258
2015-09-11,25.641048431396484
2015-09-14,25.88800811767578
2015-09-15,26.105783462524414
2015-09-16,26.134967803955078
2015-09-17,25.575942993164062
2015-09-18,25.47042465209961
2015-09-21,25.865554809570312
2015-09-22,25.459196090698242
2015-09-23,25.66574478149414
2015-09-24,25.818418502807617
2015-09-25,25.75330924987793
2015-09-28,25.243667602539062
