Date,ret
2015-01-05,-0.028576158669565643
2015-01-06,9.384579297000428e-05
2015-01-07,0.013924881309015369
2015-01-08,0.03770257104299635
2015-01-09,0.0010718586212914438
2015-01-12,-0.024949355917276428
2015-01-13,0.008839819155422646
2015-01-14,-0.0038180177625650735
2015-01-15,-0.027514934195613794
2015-01-16,-0.007800898335515782
2015-01-20,0.025431286575197998
2015-01-21,0.00760512755441356
2015-01-22,0.025683078588027097
2015-01-23,0.005146830616476361
2015-01-26,0.0010613707260356264
2015-01-27,-0.03564093039713834
2015-01-28,0.054992931929159994
2015-01-29,0.030658304008700732
2015-01-30,-0.014742233735975052
2015-02-02,0.012468775545372512
2015-02-03,0.00016882338336765557
2015-02-04,0.007640386417393952
2015-02-05,0.007112347325127111
2015-02-06,-0.008456827130480793
2015-02-09,0.006620719584922163
2015-02-10,0.019029232335022517
2015-02-11,0.02316813582416799
2015-02-12,0.012572871930626395
2015-02-13,0.004890947251616762
2015-02-17,0.005884395754400362
2015-02-18,0.006938365153171588
2015-02-19,-0.002100043585746114
2015-02-20,0.008141128372506579
2015-02-23,0.02666879738749639
2015-02-24,-0.006260485244244496
2015-02-25,-0.025906076823537738
2015-02-26,0.01257710121853517
2015-02-27,-0.015142542581532581
2015-03-02,0.004892126250098272
2015-03-03,0.0020894442889085596
2015-03-04,-0.0063590770986357015
2015-03-05,-0.016709306603351237
2015-03-06,0.0015015845802555106
2015-03-09,0.004256530656981727
2015-03-10,-0.020902801957138895
2015-03-11,-0.018399635557013294
2015-03-12,0.017917447255483054
2015-03-13,-0.00693449543135527
2015-03-16,0.01094422734222178
2015-03-17,0.01658847507867245
2015-03-18,0.011193264039619066
2015-03-19,-0.0075789604716036685
2015-03-20,-0.012628668166674739
2015-03-23,0.010351689747641224
2015-03-24,-0.0040963575502042104
2015-03-25,-0.02647395649375106
2015-03-26,0.006946186221331807
2015-03-27,-0.008000426892225132
2015-03-30,0.024999183630979527
2015-03-31,-0.01547062076586947
2015-04-01,-0.0014477112308801665
2015-04-02,0.008574511404435547
2015-04-06,0.016068828634816068
2015-04-07,-0.010577712373731618
2015-04-08,-0.0032591176295806434
2015-04-09,0.007614288111683187
2015-04-10,0.0042576026589444815
2015-04-13,-0.001968875380102819
2015-04-14,-0.004345124567434411
2015-04-15,0.003793290092415802
2015-04-16,-0.004823212547567124
2015-04-17,-0.011318443304166426
2015-04-20,0.022588726563289363
2015-04-21,-0.005422168818513207
2015-04-22,0.013383932534476894
2015-04-23,0.008130477839783712
2015-04-24,0.004693397305350455
2015-04-27,0.01802797304448589
2015-04-28,-0.01588086036301739
2015-04-29,-0.014815355197641544
2015-04-30,-0.027505017754908767
2015-05-01,0.029911639441770888
2015-05-04,-0.0019402686001099845
2015-05-05,-0.022790760914006558
2015-05-06,-0.006299656690412103
2015-05-07,0.006165991778880553
2015-05-08,0.018665701457150075
2015-05-11,-0.010238704924741882
2015-05-12,-0.003568850720645056
2015-05-13,0.0011114578737383418
2015-05-14,0.023063556838705868
2015-05-15,-0.00139655008588635
2015-05-18,0.010966953489027986
2015-05-19,-0.0009221436001571881
2015-05-20,-7.696571876580904e-05
2015-05-21,0.010174140809656507
2015-05-22,0.008714751997212389
2015-05-26,-0.02227777283229848
2015-05-27,0.01849769071300411
2015-05-28,-0.0019708561343452224
2015-05-29,-0.011447713264452375
2015-06-01,0.0019936557132567145
2015-06-02,-0.004453289162773988
2015-06-03,0.0012306385358482608
2015-06-04,-0.005857946994863195
2015-06-05,-0.0055037923370009345
2015-06-08,-0.006628933951870586
2015-06-09,-0.002977755920304137
2015-06-10,0.011393050773213176
2015-06-11,-0.002252746216676371
2015-06-12,-0.01110424022333012
2015-06-15,-0.001967598580319585
2015-06-16,0.005343137974667123
2015-06-17,-0.002353736416949026
2015-06-18,0.0045457968094830825
2015-06-19,-0.010060028731115445
2015-06-22,0.007946618456483368
2015-06-23,-0.004555704769290347
2015-06-24,0.00846608887654865
2015-06-25,-0.004772863759126
2015-06-26,-0.005899767674284462
2015-06-29,-0.017670083172106388
2015-06-30,0.007201198694681832
2015-07-01,0.009284513347093348
2015-07-02,-0.0012643372818188503
2015-07-06,-0.003486005465720865
2015-07-07,-0.0024635735641949097
2015-07-08,-0.025136166843537033
2015-07-09,-0.020607102610055605
2015-07-10,0.02638318839232534
2015-07-13,0.019121322020427822
2015-07-14,-0.00039758286718116764
2015-07-15,0.009586721609960325
2015-07-16,0.013237688097872624
2015-07-17,0.008600515926450836
2015-07-20,0.018725108401012047
2015-07-21,-0.010044990171290014
2015-07-22,-0.043214939466925895
2015-07-23,-0.00047936799602865676
2015-07-24,-0.005287105004042836
2015-07-27,-0.01399322417043436
2015-07-28,0.004956503534860435
2015-07-29,-0.0031658475169336064
2015-07-30,-0.005053991560657778
2015-07-31,-0.008782232136891999
2015-08-03,-0.02386048631282156
2015-08-04,-0.03260946973500056
2015-08-05,0.006607563612955669
2015-08-06,0.0021736933263025726
2015-08-07,0.0033816284387913065
2015-08-10,0.03571217979245889
2015-08-11,-0.053440917110476605
2015-08-12,0.015301891673783707
2015-08-13,-0.0007811650538265269
2015-08-14,0.007009786591484435
2015-08-17,0.010295204448928619
2015-08-18,-0.005649358265586546
2015-08-19,-0.012872033656542214
2015-08-20,-0.02073333065220062
2015-08-21,-0.06311368475838819
2015-08-24,-0.025279023829035907
2015-08-25,0.005994393201946391
2015-08-26,0.05577063958880579
2015-08-27,0.029021473452144786
2015-08-28,0.0032714102593254246
2015-08-31,-0.0046894158826988885
2015-09-01,-0.045726135902734555
